alg,in-scale,num-ratings,field,value
ItemItem,21,4,MI-native-corrected,[]
ItemItem,21,4,RMSE.ByUser,3.93015007677
ItemItem,21,4,MI-native,[]
ItemItem,21,4,NAttempted,306655.6
ItemItem,21,4,MI-100-corrected,0.257793858142
ItemItem,21,4,MI-50.ByUser,1.14536518179
ItemItem,21,4,MI-21.ByUser,[]
ItemItem,21,4,MI-2.ByUser,0.200108891842
ItemItem,21,4,NRMSE.ByUser,0.196507503839
ItemItem,21,4,NMAE,0.140568234573
ItemItem,21,4,MI-20,0.253413470083
ItemItem,21,4,MAE,2.81136469146
ItemItem,21,4,MI-native.ByUser,[]
ItemItem,21,4,NMAE.ByUser,0.152261621626
ItemItem,21,4,RMSE.ByRating,4.32803016298
ItemItem,21,4,NUsers,10830.2
ItemItem,21,4,MI-50-corrected,0.25691382089
ItemItem,21,4,TestTime,2849.2
ItemItem,21,4,MI-21-corrected,[]
ItemItem,21,4,MI-2-corrected.ByUser,-1.57868838372
ItemItem,21,4,nDCG,nan
ItemItem,21,4,MI-100.ByUser,1.26202524489
ItemItem,21,4,MI-5-corrected.ByUser,-6.62354710053
ItemItem,21,4,MI-100,0.262451659673
ItemItem,21,4,MI-2,0.135333976599
ItemItem,21,4,MI-5,0.218992784371
ItemItem,21,4,Coverage,1.0
ItemItem,21,4,MI-21,[]
ItemItem,21,4,MI-100-corrected.ByUser,-174.838905036
ItemItem,21,4,BuildTime,296200.8
ItemItem,21,4,MI-50-corrected.ByUser,-86.0157013209
ItemItem,21,4,MI-10.ByUser,0.730423995294
ItemItem,21,4,MI-20.ByUser,0.934385007352
ItemItem,21,4,MI-5-corrected,0.21880459037
ItemItem,21,4,MI-10-corrected,0.243023791391
ItemItem,21,4,NGood,306655.6
ItemItem,21,4,MAE.ByUser,3.04523243252
ItemItem,21,4,MI-10-corrected.ByUser,-15.2787514848
ItemItem,21,4,MI-2-corrected,0.135286928098
ItemItem,21,4,NRMSE,0.216401508149
ItemItem,21,4,MI-50,0.259219197405
ItemItem,21,4,MI-20-corrected.ByUser,-32.8627632284
ItemItem,21,4,MI-20-corrected,0.252519548577
ItemItem,21,4,MI-10,0.243447227894
ItemItem,21,4,MI-5.ByUser,0.491642001729
ItemUserMean,21,4,MI-native-corrected,[]
ItemUserMean,21,4,RMSE.ByUser,3.70684475702
ItemUserMean,21,4,MI-native,[]
ItemUserMean,21,4,NAttempted,306655.6
ItemUserMean,21,4,MI-100-corrected,0.245941197288
ItemUserMean,21,4,MI-50.ByUser,1.01966009738
ItemUserMean,21,4,MI-21.ByUser,[]
ItemUserMean,21,4,MI-2.ByUser,0.148485023105
ItemUserMean,21,4,NRMSE.ByUser,0.185342237851
ItemUserMean,21,4,NMAE,0.136022001387
