alg,in-scale,num-ratings,field,value
ItemItem,5,15,MI-100.ByUser,1.05182940008
ItemItem,5,15,MI-5-corrected.ByUser,-0.171992725522
ItemItem,5,15,MI-100,0.18056023219
ItemItem,5,15,MI-2,0.107160883985
ItemItem,5,15,MI-5,0.159461145178
ItemItem,5,15,Coverage,1.0
ItemItem,5,15,MI-100-corrected.ByUser,-9.79192418068
ItemItem,5,15,BuildTime,507709.0
ItemItem,5,15,MI-50-corrected.ByUser,-4.52196763608
ItemItem,5,15,MI-10.ByUser,0.407621396258
ItemItem,5,15,MI-20.ByUser,0.580240374174
ItemItem,5,15,MI-5-corrected,0.159454698637
ItemItem,5,15,MI-10-corrected,0.174464161836
ItemItem,5,15,NGood,1790376.8
ItemItem,5,15,MAE.ByUser,0.789793326289
ItemItem,5,15,MI-10-corrected.ByUser,-0.578174383811
ItemItem,5,15,MI-2-corrected,0.107159272349
ItemItem,5,15,NRMSE,0.255987415055
ItemItem,5,15,MI-50,0.180300918404
ItemItem,5,15,MI-20-corrected.ByUser,-1.50088405042
ItemItem,5,15,MI-20-corrected,0.178953698648
ItemItem,5,15,MI-10,0.174478666553
ItemItem,5,15,MI-5.ByUser,0.266138732287
ItemUserMean,5,15,MI-native-corrected,0.167064680439
ItemUserMean,5,15,RMSE.ByUser,0.928410469075
ItemUserMean,5,15,MI-native,0.16707112698
ItemUserMean,5,15,NAttempted,1790376.8
ItemUserMean,5,15,MI-100-corrected,0.20380963525
ItemUserMean,5,15,MI-50.ByUser,0.735790405103
ItemUserMean,5,15,MI-2.ByUser,0.11011101618
ItemUserMean,5,15,NRMSE.ByUser,0.232102617269
ItemUserMean,5,15,NMAE,0.185161785658
ItemUserMean,5,15,MI-20,0.201151015743
ItemUserMean,5,15,MAE,0.740647142634
ItemUserMean,5,15,MI-native.ByUser,0.207649444735
ItemUserMean,5,15,NMAE.ByUser,0.190167380224
ItemUserMean,5,15,RMSE.ByRating,0.941171352971
ItemUserMean,5,15,NUsers,13975.6
ItemUserMean,5,15,MI-50-corrected,0.203466241453
ItemUserMean,5,15,TestTime,42516.6
ItemUserMean,5,15,MI-2-corrected.ByUser,0.000578151728251
ItemUserMean,5,15,nDCG,0.954614724302
ItemUserMean,5,15,MI-100.ByUser,0.940105067111
ItemUserMean,5,15,MI-5-corrected.ByUser,-0.230482013074
ItemUserMean,5,15,MI-100,0.203969187137
ItemUserMean,5,15,MI-2,0.114708040053
ItemUserMean,5,15,MI-5,0.16707112698
ItemUserMean,5,15,Coverage,1.0
ItemUserMean,5,15,MI-100-corrected.ByUser,-9.90364851365
ItemUserMean,5,15,BuildTime,15720.6
ItemUserMean,5,15,MI-50-corrected.ByUser,-4.63131995305
ItemUserMean,5,15,MI-10.ByUser,0.336293396009
ItemUserMean,5,15,MI-20.ByUser,0.490832102339
ItemUserMean,5,15,MI-5-corrected,0.167064680439
ItemUserMean,5,15,MI-10-corrected,0.19326438041
ItemUserMean,5,15,NGood,1790376.8
ItemUserMean,5,15,MAE.ByUser,0.760669520897
