alg,in-scale,num-ratings,field,value
ItemItem,2,15,MI-81-corrected,0.101302570226
ItemItem,2,15,MI-10-corrected.ByUser,-0.796377502159
ItemItem,2,15,MI-2-corrected,0.0823328038438
ItemItem,2,15,NRMSE,0.50656582438
ItemItem,2,15,MI-20-corrected.ByUser,-1.7044727514
ItemItem,2,15,MI-20-corrected,0.10150996632
ItemItem,2,15,MI-10,0.0941265141572
ItemItem,2,15,MI-5.ByUser,0.040305786649
ItemUserMean,2,15,MI-native-corrected,0.0958686623964
ItemUserMean,2,15,MI-81-corrected.ByUser,-7.63139215227
ItemUserMean,2,15,MI-native,0.0958720623324
ItemUserMean,2,15,NAttempted,212224.2
ItemUserMean,2,15,MI-81,0.128888297999
ItemUserMean,2,15,MI-2.ByUser,0.0209937694199
ItemUserMean,2,15,NRMSE.ByUser,0.429373665557
ItemUserMean,2,15,NMAE,0.396960749401
ItemUserMean,2,15,MI-20,0.128888297999
ItemUserMean,2,15,MI-native.ByUser,0.0209937694199
ItemUserMean,2,15,NMAE.ByUser,0.396219280762
ItemUserMean,2,15,RMSE.ByUser,0.429373665557
ItemUserMean,2,15,RMSE.ByRating,0.454609166749
ItemUserMean,2,15,NUsers,6181.8
ItemUserMean,2,15,TestTime,11470.4
ItemUserMean,2,15,Coverage,1.0
ItemUserMean,2,15,nDCG,0.950654741836
ItemUserMean,2,15,MAE,0.396960749401
ItemUserMean,2,15,MI-5-corrected.ByUser,-0.363036845462
ItemUserMean,2,15,MI-2,0.0958720623324
ItemUserMean,2,15,MI-5,0.0958720623324
ItemUserMean,2,15,MI-2-corrected.ByUser,-0.0750138843006
ItemUserMean,2,15,BuildTime,1805.4
ItemUserMean,2,15,MI-10.ByUser,0.0256675474043
ItemUserMean,2,15,MI-20.ByUser,0.0492201453636
ItemUserMean,2,15,MI-5-corrected,0.0958584625885
ItemUserMean,2,15,MI-10-corrected,0.105199648985
ItemUserMean,2,15,NGood,212224.2
ItemUserMean,2,15,MI-81.ByUser,0.0492201453636
ItemUserMean,2,15,MAE.ByUser,0.396219280762
ItemUserMean,2,15,MI-81-corrected,0.128616303122
ItemUserMean,2,15,MI-10-corrected.ByUser,-0.83840133608
ItemUserMean,2,15,MI-2-corrected,0.0958686623964
